time,id,s2,s3,Qa3,Qa4,Qa8,Qa10,Qa16,index1,index1a,index1b,Qa3n,Qa4n,Qa8n,Qa10n,Qa16n,index1n,index1an,index1bn
200704,259,1,55,100,150,150,200,100,109.349371241115,88.0359186548112,121.071238316626,100,150,150,150,200,117.160040615481,132.053877982217,108.964114484963
200704,264,1,60,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753
200704,304,2,60,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,309,1,32,100,200,150,200,150,124.970709989846,110.044898318514,133.178362148288,100,200,200,200,150,132.781379364212,110.044898318514,145.285485979951
200704,320,2,38,100,100,100,100,50,70.2960243692884,66.0269389911084,72.6427429899753,100,100,100,150,50,78.1066937436538,66.0269389911084,84.7498668216379
200704,334,1,44,150,150,150,150,150,117.160040615481,132.053877982217,108.964114484963,150,150,100,100,100,93.7280324923846,110.044898318514,84.7498668216379
200704,337,2,52,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753,200,150,150,150,200,132.781379364212,176.071837309622,108.964114484963
200704,368,1,52,100,150,150,150,150,109.349371241115,110.044898318514,108.964114484963,50,50,100,100,100,62.4853549949231,66.0269389911084,60.5356191583127
200704,384,1,60,150,150,150,200,50,109.349371241115,88.0359186548112,121.071238316626,50,100,150,200,100,93.7280324923846,66.0269389911084,108.964114484963
200704,389,1,60,100,100,200,200,150,117.160040615481,110.044898318514,121.071238316626,150,150,200,200,100,124.970709989846,110.044898318514,133.178362148288
200704,392,1,50,50,100,150,150,50,78.1066937436538,44.0179593274056,96.8569906533004,150,100,100,150,50,85.9173631180192,88.0359186548112,84.7498668216379
200704,401,1,50,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004,100,150,100,200,150,109.349371241115,110.044898318514,108.964114484963
200704,403,2,38,0,150,150,150,50,78.1066937436538,22.0089796637028,108.964114484963,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753
200704,406,2,58,0,100,150,100,100,70.2960243692884,44.0179593274056,84.7498668216379,200,150,150,200,100,124.970709989846,132.053877982217,121.071238316626
200704,420,1,59,150,150,100,200,100,109.349371241115,110.044898318514,108.964114484963,200,200,150,200,100,132.781379364212,132.053877982217,133.178362148288
200704,433,2,50,100,100,150,100,50,78.1066937436538,66.0269389911084,84.7498668216379,150,200,150,200,100,124.970709989846,110.044898318514,133.178362148288
200704,456,1,37,100,200,200,200,150,132.781379364212,110.044898318514,145.285485979951,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753
200704,457,2,50,150,100,100,150,100,93.7280324923846,110.044898318514,84.7498668216379,100,100,100,150,150,93.7280324923846,110.044898318514,84.7498668216379
200704,465,2,36,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004,0,0,150,100,150,62.4853549949231,66.0269389911084,60.5356191583127
200704,480,2,54,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004
200704,507,2,29,100,100,100,200,100,93.7280324923846,88.0359186548112,96.8569906533004,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,513,1,60,50,100,100,150,50,70.2960243692884,44.0179593274056,84.7498668216379,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753
200704,524,1,22,100,150,150,150,100,101.53870186675,88.0359186548112,108.964114484963,100,150,100,100,150,93.7280324923846,110.044898318514,84.7498668216379
200704,551,1,29,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004,150,100,100,200,50,93.7280324923846,88.0359186548112,96.8569906533004
200704,562,1,24,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004
200704,569,1,48,50,100,100,200,100,85.9173631180192,66.0269389911084,96.8569906533004,50,0,200,200,100,85.9173631180192,66.0269389911084,96.8569906533004
200704,573,1,24,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004,200,100,150,200,100,117.160040615481,132.053877982217,108.964114484963
200704,624,2,59,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,150,150,100,100,100,93.7280324923846,110.044898318514,84.7498668216379
200704,631,2,25,100,150,200,200,100,117.160040615481,88.0359186548112,133.178362148288,100,150,150,200,150,117.160040615481,110.044898318514,121.071238316626
200704,641,2,54,150,100,150,100,100,93.7280324923846,110.044898318514,84.7498668216379,200,150,100,150,150,117.160040615481,154.06285764592,96.8569906533004
200704,644,1,25,150,200,150,100,150,117.160040615481,132.053877982217,108.964114484963,50,0,50,0,150,39.0533468718269,88.0359186548112,12.1071238316626
200704,653,2,55,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,100,100,150,200,200,117.160040615481,132.053877982217,108.964114484963
200704,658,2,23,100,200,150,200,100,117.160040615481,88.0359186548112,133.178362148288,150,100,150,200,150,117.160040615481,132.053877982217,108.964114484963
